archivo,mejor_radio,area,filled_volume,num_atm,mean_distance
outputs.dump/key_area_1.dump,9,296.6468363032738,385.3427089584567,36,4.787226543341812
outputs.dump/key_area_2.dump,9,296.64683630327414,385.3427089584576,36,4.787226543341815
outputs.dump/key_area_3.dump,9,296.6468363032743,385.3427089584576,36,4.787226543341815
outputs.dump/key_area_4.dump,9,296.6468363032741,385.3427089584576,36,4.787226543341814
outputs.dump/key_area_5.dump,9,296.64683630327437,385.34270895845737,36,4.787226543341815
outputs.dump/key_area_6.dump,9,296.64683630327414,385.34270895845685,36,4.787226543341812
outputs.dump/key_area_7.dump,10,296.64683630327403,385.3427089584579,36,4.787226543341813
outputs.dump/key_area_8.dump,9,296.64683630327414,385.3427089584579,36,4.787226543341815
outputs.dump/key_area_9.dump,10,296.646836303274,385.34270895845765,36,4.78722654334181
outputs.dump/key_area_10.dump,9,296.64683630327403,385.34270895845714,36,4.787226543341813
outputs.dump/key_area_11.dump,9,296.64683630327363,385.3427089584562,36,4.787226543341809
outputs.dump/key_area_12.dump,9,296.6468363032742,385.342708958458,36,4.787226543341814
outputs.dump/key_area_13.dump,9,296.6468363032744,385.34270895845765,36,4.787226543341813
outputs.dump/key_area_14.dump,9,296.6468363032742,385.3427089584576,36,4.787226543341815
outputs.dump/key_area_15.dump,9,296.64683630327363,385.34270895845617,36,4.787226543341809
outputs.dump/key_area_16.dump,9,296.6468363032745,385.3427089584577,36,4.787226543341815
outputs.dump/key_area_17.dump,9,296.64683630327414,385.3427089584571,36,4.787226543341812
outputs.dump/key_area_18.dump,9,296.64683630327426,385.3427089584574,36,4.787226543341813
outputs.dump/key_area_19.dump,9,296.64683630327426,385.34270895845765,36,4.787226543341814
outputs.dump/key_area_20.dump,9,296.64683630327426,385.3427089584576,36,4.787226543341814
outputs.dump/key_area_21.dump,9,296.64683630327414,385.3427089584575,36,4.787226543341813
outputs.dump/key_area_22.dump,9,296.6468363032745,385.34270895845765,36,4.787226543341814
outputs.dump/key_area_23.dump,9,296.646836303274,385.3427089584578,36,4.787226543341813
outputs.dump/key_area_24.dump,9,296.64683630327426,385.3427089584576,36,4.787226543341814
